image,ADI,BACK,LYM,STR,DEB,MUC,TUM,MUS,NORM
TUM-LIQPTLEK,0,0,0,0,0,0,1,0,0
BACK-LWRRRPWR,0,1,0,0,0,0,0,0,0
MUS-IEFSGSKG,0,0,0,0,0,0,0,1,0
NORM-WDEGHSVV,0,0,0,0,0,0,0,0,1
DEB-DKDKCFQH,0,0,0,0,1,0,0,0,0
LYM-VYRIWWYK,0,0,1,0,0,0,0,0,0
TUM-WKNVQRAM,0,0,0,0,0,0,1,0,0
ADI-EGIKMRWQ,1,0,0,0,0,0,0,0,0
MUC-RPWNISDG,0,0,0,0,0,1,0,0,0
STR-GKNCIHVR,0,0,0,1,0,0,0,0,0
BACK-EFQYQQAN,0,1,0,0,0,0,0,0,0
MUS-QQWKEWCT,0,0,0,0,0,0,0,1,0
TUM-GAIWHSFF,0,0,0,0,0,0,1,0,0
DEB-KSVTRFHT,0,0,0,0,1,0,0,0,0
LYM-WAFWFHMV,0,0,1,0,0,0,0,0,0
NORM-KKPQIQMP,0,0,0,0,0,0,0,0,1
ADI-KCYDETEI,1,0,0,0,0,0,0,0,0
STR-LIVSTWSW,0,0,0,1,0,0,0,0,0
MUS-CRPYTCFK,0,0,0,0,0,0,0,1,0
BACK-LWMPSVRW,0,1,0,0,0,0,0,0,0
MUC-DSFIPMVV,0,0,0,0,0,1,0,0,0
TUM-AANYKPHH,0,0,0,0,0,0,1,0,0
LYM-PMRPFVMR,0,0,1,0,0,0,0,0,0
DEB-EGQTWPEE,0,0,0,0,1,0,0,0,0
MUS-QHVLTYRQ,0,0,0,0,0,0,0,1,0
ADI-QYTYYMIG,1,0,0,0,0,0,0,0,0
STR-YSKCYKID,0,0,0,1,0,0,0,0,0
TUM-AYYMEMWI,0,0,0,0,0,0,1,0,0
NORM-YSVTVEQW,0,0,0,0,0,0,0,0,1
BACK-NKYQGQSM,0,1,0,0,0,0,0,0,0
MUC-SQVVSKWN,0,0,0,0,0,1,0,0,0
LYM-GIIYQFNH,0,0,1,0,0,0,0,0,0
DEB-LKLVKWRK,0,0,0,0,1,0,0,0,0
MUS-QKEAHKIP,0,0,0,0,0,0,0,1,0
TUM-PFMVDPWK,0,0,0,0,0,0,1,0,0
ADI-EVTIVCCN,1,0,0,0,0,0,0,0,0
STR-LKNRWQDM,0,0,0,1,0,0,0,0,0
BACK-DDHRDIQF,0,1,0,0,0,0,0,0,0
NORM-WYKVHVHW,0,0,0,0,0,0,0,0,1
MUS-QYGSTQDW,0,0,0,0,0,0,0,1,0
LYM-SQALKCLF,0,0,1,0,0,0,0,0,0
DEB-GVTRTQCC,0,0,0,0,1,0,0,0,0
TUM-IGAMERAN,0,0,0,0,0,0,1,0,0
MUC-NSGSGEAY,0,0,0,0,0,1,0,0,0
ADI-GKNSMSTS,1,0,0,0,0,0,0,0,0
STR-LDICFKTH,0,0,0,1,0,0,0,0,0
BACK-EHKCQRMG,0,1,0,0,0,0,0,0,0
MUS-RTVDAVDE,0,0,0,0,0,0,0,1,0
TUM-WGEMAMQI,0,0,0,0,0,0,1,0,0
LYM-PYSFQFKG,0,0,1,0,0,0,0,0,0
DEB-WVDLGWKR,0,0,0,0,1,0,0,0,0
NORM-VHWMWYFY,0,0,0,0,0,0,0,0,1
MUC-VWDIVVKS,0,0,0,0,0,1,0,0,0
ADI-KHETMDKK,1,0,0,0,0,0,0,0,0
MUS-TFHTKLLA,0,0,0,0,0,0,0,1,0
TUM-SIHKIVAC,0,0,0,0,0,0,1,0,0
STR-QILPARKM,0,0,0,1,0,0,0,0,0
BACK-ASTIDHRS,0,1,0,0,0,0,0,0,0
LYM-ISRLNRDT,0,0,1,0,0,0,0,0,0
DEB-MDTSYQLQ,0,0,0,0,1,0,0,0,0
NORM-QQILSEDL,0,0,0,0,0,0,0,0,1
MUS-TLFANQES,0,0,0,0,0,0,0,1,0
TUM-IERLHATI,0,0,0,0,0,0,1,0,0
ADI-RCKFYADH,1,0,0,0,0,0,0,0,0
MUC-DRIWSETQ,0,0,0,0,0,1,0,0,0
STR-FEYWERIQ,0,0,0,1,0,0,0,0,0
BACK-EGIYNIWC,0,1,0,0,0,0,0,0,0
LYM-YRHLDHEV,0,0,1,0,0,0,0,0,0
DEB-VHFDCMGD,0,0,0,0,1,0,0,0,0
TUM-KLDMTQWM,0,0,0,0,0,0,1,0,0
MUS-EPWISITW,0,0,0,0,0,0,0,1,0
NORM-EPPQRVSA,0,0,0,0,0,0,0,0,1
ADI-PQWRMKSK,1,0,0,0,0,0,0,0,0
LYM-VQCVCCMC,0,0,1,0,0,0,0,0,0
STR-PEAPVQHC,0,0,0,1,0,0,0,0,0
BACK-EHVIWHRA,0,1,0,0,0,0,0,0,0
DEB-YKRIDNIF,0,0,0,0,1,0,0,0,0
MUC-GRWYCYWI,0,0,0,0,0,1,0,0,0
TUM-WSWGPCTF,0,0,0,0,0,0,1,0,0
MUS-ILPLWDAW,0,0,0,0,0,0,0,1,0
ADI-RRHFRNTG,1,0,0,0,0,0,0,0,0
LYM-QQVWMCVS,0,0,1,0,0,0,0,0,0
TUM-DRWILEDP,0,0,0,0,0,0,1,0,0
DEB-CIGPIMGL,0,0,0,0,1,0,0,0,0
MUS-AYAVSAMW,0,0,0,0,0,0,0,1,0
STR-RFPNLPNS,0,0,0,1,0,0,0,0,0
BACK-EANMQIYD,0,1,0,0,0,0,0,0,0
NORM-LHLVYLIC,0,0,0,0,0,0,0,0,1
MUC-ICTMKSIC,0,0,0,0,0,1,0,0,0
TUM-HNGTWVLA,0,0,0,0,0,0,1,0,0
LYM-YPALNVQF,0,0,1,0,0,0,0,0,0
MUS-ENKMTQSM,0,0,0,0,0,0,0,1,0
ADI-MVIEKLNK,1,0,0,0,0,0,0,0,0
DEB-HIDWCGFY,0,0,0,0,1,0,0,0,0
BACK-FMCPIVRQ,0,1,0,0,0,0,0,0,0
STR-CFQPRGWP,0,0,0,1,0,0,0,0,0
NORM-GILCAAQC,0,0,0,0,0,0,0,0,1
TUM-LINSSSNS,0,0,0,0,0,0,1,0,0
MUC-IWAPVYWC,0,0,0,0,0,1,0,0,0
MUS-MGNVKGCD,0,0,0,0,0,0,0,1,0
LYM-MHPAIGNN,0,0,1,0,0,0,0,0,0
DEB-DGYLIAEQ,0,0,0,0,1,0,0,0,0
ADI-AVWMPYHY,1,0,0,0,0,0,0,0,0
BACK-KITEQFCA,0,1,0,0,0,0,0,0,0
STR-CWMFAGRT,0,0,0,1,0,0,0,0,0
TUM-LKSKMQTW,0,0,0,0,0,0,1,0,0
MUS-EIMPMEFW,0,0,0,0,0,0,0,1,0
NORM-CLWDYGPE,0,0,0,0,0,0,0,0,1
LYM-VTEGSECW,0,0,1,0,0,0,0,0,0
MUC-QSVRHRFR,0,0,0,0,0,1,0,0,0
DEB-KVPPIFTK,0,0,0,0,1,0,0,0,0
TUM-RCPFDGQT,0,0,0,0,0,0,1,0,0
ADI-LFDVADIK,1,0,0,0,0,0,0,0,0
BACK-CKHRDMTW,0,1,0,0,0,0,0,0,0
STR-NAWEHDME,0,0,0,1,0,0,0,0,0
MUS-RQTMLFFQ,0,0,0,0,0,0,0,1,0
LYM-RPSLSRNW,0,0,1,0,0,0,0,0,0
TUM-LIPRECTT,0,0,0,0,0,0,1,0,0
DEB-CVHLKELL,0,0,0,0,1,0,0,0,0
NORM-FRNCCKNF,0,0,0,0,0,0,0,0,1
MUC-LGGALLVF,0,0,0,0,0,1,0,0,0
MUS-NEQSLEVT,0,0,0,0,0,0,0,1,0
ADI-DERTDSVG,1,0,0,0,0,0,0,0,0
BACK-CLGALPYA,0,1,0,0,0,0,0,0,0
STR-NTNNAQEA,0,0,0,1,0,0,0,0,0
TUM-QNSRKGYG,0,0,0,0,0,0,1,0,0
LYM-RMFLKSCD,0,0,1,0,0,0,0,0,0
DEB-FAPCILII,0,0,0,0,1,0,0,0,0
MUS-IDCCFCNP,0,0,0,0,0,0,0,1,0
ADI-HGYELCID,1,0,0,0,0,0,0,0,0
NORM-AQMLGHFM,0,0,0,0,0,0,0,0,1
MUC-IDRWKKTR,0,0,0,0,0,1,0,0,0
TUM-LKWAKNPY,0,0,0,0,0,0,1,0,0
BACK-GNVGKNVI,0,1,0,0,0,0,0,0,0
STR-VFKMDAER,0,0,0,1,0,0,0,0,0
LYM-RAPACVER,0,0,1,0,0,0,0,0,0
MUS-EVIWGLPM,0,0,0,0,0,0,0,1,0
DEB-CIQGHNEH,0,0,0,0,1,0,0,0,0
TUM-ELFCWGGV,0,0,0,0,0,0,1,0,0
ADI-KMNEVLEK,1,0,0,0,0,0,0,0,0
BACK-FEGTKEDK,0,1,0,0,0,0,0,0,0
STR-HSCITSMG,0,0,0,1,0,0,0,0,0
NORM-TVRMKHRI,0,0,0,0,0,0,0,0,1
MUS-FAPIETCK,0,0,0,0,0,0,0,1,0
LYM-SPWAFSGA,0,0,1,0,0,0,0,0,0
MUC-IFEYEKHW,0,0,0,0,0,1,0,0,0
DEB-WTNMFLAN,0,0,0,0,1,0,0,0,0
TUM-NCPIVENP,0,0,0,0,0,0,1,0,0
ADI-NQYKACPL,1,0,0,0,0,0,0,0,0
MUS-ILWIVIHP,0,0,0,0,0,0,0,1,0
BACK-NHVGSFRQ,0,1,0,0,0,0,0,0,0
STR-QKWITMFI,0,0,0,1,0,0,0,0,0
LYM-AQTIAYII,0,0,1,0,0,0,0,0,0
TUM-IVWEFLHE,0,0,0,0,0,0,1,0,0
DEB-EERPQDNN,0,0,0,0,1,0,0,0,0
NORM-VYRQDEAQ,0,0,0,0,0,0,0,0,1
MUC-SGAMVTYV,0,0,0,0,0,1,0,0,0
MUS-NRFCPCQC,0,0,0,0,0,0,0,1,0
ADI-DLNWSKGI,1,0,0,0,0,0,0,0,0
TUM-PRIRHMRK,0,0,0,0,0,0,1,0,0
LYM-EFAPMAMV,0,0,1,0,0,0,0,0,0
BACK-AREQEKEQ,0,1,0,0,0,0,0,0,0
STR-NDYNWYLF,0,0,0,1,0,0,0,0,0
DEB-QDNRMENM,0,0,0,0,1,0,0,0,0
NORM-LLRYERCK,0,0,0,0,0,0,0,0,1
MUS-SLFQGWRM,0,0,0,0,0,0,0,1,0
MUC-KVLGYRPD,0,0,0,0,0,1,0,0,0
TUM-ESQCYKQI,0,0,0,0,0,0,1,0,0
ADI-LCACSHVA,1,0,0,0,0,0,0,0,0
LYM-LPEEVEFL,0,0,1,0,0,0,0,0,0
BACK-GPRSTDCT,0,1,0,0,0,0,0,0,0
STR-KYDFGEWQ,0,0,0,1,0,0,0,0,0
DEB-TCDFQRHV,0,0,0,0,1,0,0,0,0
MUS-QWTPSIVK,0,0,0,0,0,0,0,1,0
TUM-DTCFMCSP,0,0,0,0,0,0,1,0,0
NORM-FTWDEVTK,0,0,0,0,0,0,0,0,1
MUC-DLGFYRHS,0,0,0,0,0,1,0,0,0
LYM-PPNYTLSE,0,0,1,0,0,0,0,0,0
ADI-SGARAKSR,1,0,0,0,0,0,0,0,0
BACK-FEQIDPDD,0,1,0,0,0,0,0,0,0
DEB-DMWRLSKM,0,0,0,0,1,0,0,0,0
MUS-GAPAWYHQ,0,0,0,0,0,0,0,1,0
TUM-GFMPSRQF,0,0,0,0,0,0,1,0,0
STR-PTDMEEDG,0,0,0,1,0,0,0,0,0
LYM-HKMPKVWY,0,0,1,0,0,0,0,0,0
ADI-MTWYDQWK,1,0,0,0,0,0,0,0,0
MUS-SPREKIWD,0,0,0,0,0,0,0,1,0
TUM-VRMAMKHH,0,0,0,0,0,0,1,0,0
NORM-YPSHAPHD,0,0,0,0,0,0,0,0,1
DEB-GQSCRLSE,0,0,0,0,1,0,0,0,0
BACK-GWQECGVE,0,1,0,0,0,0,0,0,0
MUC-QEQLFTHS,0,0,0,0,0,1,0,0,0
STR-VNMCFSSK,0,0,0,1,0,0,0,0,0
LYM-SGTLDKGH,0,0,1,0,0,0,0,0,0
TUM-VDDWPLND,0,0,0,0,0,0,1,0,0
MUS-SKANMACS,0,0,0,0,0,0,0,1,0
DEB-CLGTPYLI,0,0,0,0,1,0,0,0,0
ADI-LANWYFIV,1,0,0,0,0,0,0,0,0
BACK-AILQIYLV,0,1,0,0,0,0,0,0,0
STR-SDMFYHPL,0,0,0,1,0,0,0,0,0
NORM-YQQVMNRP,0,0,0,0,0,0,0,0,1
MUC-HGTLNSRE,0,0,0,0,0,1,0,0,0
TUM-LRYLRPHQ,0,0,0,0,0,0,1,0,0
MUS-TNHSFVCG,0,0,0,0,0,0,0,1,0
LYM-DWAKNQRW,0,0,1,0,0,0,0,0,0
DEB-CKQMPDDS,0,0,0,0,1,0,0,0,0
ADI-CSPNGTPF,1,0,0,0,0,0,0,0,0
BACK-KYRMWPYC,0,1,0,0,0,0,0,0,0
TUM-PIEREWSV,0,0,0,0,0,0,1,0,0
STR-SNHICLKV,0,0,0,1,0,0,0,0,0
MUS-QEVYTIPW,0,0,0,0,0,0,0,1,0
NORM-NQYEDMRR,0,0,0,0,0,0,0,0,1
MUC-AKAGTNQD,0,0,0,0,0,1,0,0,0
LYM-FWDIWMPP,0,0,1,0,0,0,0,0,0
DEB-VQRHWRWN,0,0,0,0,1,0,0,0,0
TUM-VPNRRGYP,0,0,0,0,0,0,1,0,0
ADI-PEPETSHA,1,0,0,0,0,0,0,0,0
MUS-DANLGTFL,0,0,0,0,0,0,0,1,0
BACK-FMKLSDAE,0,1,0,0,0,0,0,0,0
STR-IIPRFWNW,0,0,0,1,0,0,0,0,0
LYM-CTLQCEVH,0,0,1,0,0,0,0,0,0
NORM-FCWEAELI,0,0,0,0,0,0,0,0,1
TUM-EHRCHPLY,0,0,0,0,0,0,1,0,0
MUC-VKTLTRIK,0,0,0,0,0,1,0,0,0
DEB-YMHAPRCD,0,0,0,0,1,0,0,0,0
MUS-VDMVEYFS,0,0,0,0,0,0,0,1,0
ADI-QHYMYTQG,1,0,0,0,0,0,0,0,0
BACK-CFMYYSQQ,0,1,0,0,0,0,0,0,0
STR-KITTKVNL,0,0,0,1,0,0,0,0,0
LYM-WRGCCDNP,0,0,1,0,0,0,0,0,0
TUM-HSTSWLQE,0,0,0,0,0,0,1,0,0
MUS-RRHAYDRG,0,0,0,0,0,0,0,1,0
DEB-KETQEQEG,0,0,0,0,1,0,0,0,0
NORM-KTSSRPMC,0,0,0,0,0,0,0,0,1
MUC-TMMISFGG,0,0,0,0,0,1,0,0,0
ADI-QFKAEKHQ,1,0,0,0,0,0,0,0,0
BACK-MNQDWSSD,0,1,0,0,0,0,0,0,0
TUM-IHYMAMDI,0,0,0,0,0,0,1,0,0
STR-AQIPWSFH,0,0,0,1,0,0,0,0,0
LYM-WELNCAAE,0,0,1,0,0,0,0,0,0
MUS-ETSLERMG,0,0,0,0,0,0,0,1,0
DEB-HLNLFMLD,0,0,0,0,1,0,0,0,0
TUM-KPPSWSYM,0,0,0,0,0,0,1,0,0
ADI-RDFWICHM,1,0,0,0,0,0,0,0,0
MUC-EAHVAFEP,0,0,0,0,0,1,0,0,0
NORM-SWSKTPIR,0,0,0,0,0,0,0,0,1
BACK-GDEWLRWK,0,1,0,0,0,0,0,0,0
MUS-CKENAEVF,0,0,0,0,0,0,0,1,0
LYM-HHRRGKMG,0,0,1,0,0,0,0,0,0
STR-PTVWNPTM,0,0,0,1,0,0,0,0,0
DEB-NVGIEHHK,0,0,0,0,1,0,0,0,0
TUM-YVDLMQNE,0,0,0,0,0,0,1,0,0
MUS-DIGPMYIY,0,0,0,0,0,0,0,1,0
ADI-IYLLTDQD,1,0,0,0,0,0,0,0,0
LYM-WDTNAFKW,0,0,1,0,0,0,0,0,0
BACK-PALSATLF,0,1,0,0,0,0,0,0,0
MUC-NVIFNSVV,0,0,0,0,0,1,0,0,0
STR-FYEMCKFQ,0,0,0,1,0,0,0,0,0
TUM-PHVMHRVL,0,0,0,0,0,0,1,0,0
NORM-APHRLGDG,0,0,0,0,0,0,0,0,1
DEB-MTEICNFG,0,0,0,0,1,0,0,0,0
MUS-SCMLVSSQ,0,0,0,0,0,0,0,1,0
LYM-ITTAKEHA,0,0,1,0,0,0,0,0,0
ADI-IKIQVDWA,1,0,0,0,0,0,0,0,0
TUM-NGYRRYME,0,0,0,0,0,0,1,0,0
BACK-NQDSFRVC,0,1,0,0,0,0,0,0,0
STR-MMYPVYPG,0,0,0,1,0,0,0,0,0
DEB-DWWSYNTD,0,0,0,0,1,0,0,0,0
MUC-WMYGWDNK,0,0,0,0,0,1,0,0,0
MUS-SHDPPKYF,0,0,0,0,0,0,0,1,0
NORM-ISLHCHNW,0,0,0,0,0,0,0,0,1
TUM-ISKLTKAN,0,0,0,0,0,0,1,0,0
LYM-SWCTVCDW,0,0,1,0,0,0,0,0,0
ADI-NVRDCELG,1,0,0,0,0,0,0,0,0
BACK-LQGLQYTC,0,1,0,0,0,0,0,0,0
DEB-FALVTPGE,0,0,0,0,1,0,0,0,0
MUS-VDAHNPKG,0,0,0,0,0,0,0,1,0
STR-VYSFSLKH,0,0,0,1,0,0,0,0,0
TUM-GTCNEGST,0,0,0,0,0,0,1,0,0
MUC-YPSPWSQL,0,0,0,0,0,1,0,0,0
NORM-AKLKAHTW,0,0,0,0,0,0,0,0,1
LYM-TRDMRIFH,0,0,1,0,0,0,0,0,0
ADI-IQHHIKKE,1,0,0,0,0,0,0,0,0
MUS-LIKTPDEN,0,0,0,0,0,0,0,1,0
BACK-EADFEMSY,0,1,0,0,0,0,0,0,0
DEB-TLYVWDTA,0,0,0,0,1,0,0,0,0
TUM-TPKDAPDY,0,0,0,0,0,0,1,0,0
STR-NHFDDFHE,0,0,0,1,0,0,0,0,0
LYM-KVSYAAMF,0,0,1,0,0,0,0,0,0
MUC-HTPCDHSS,0,0,0,0,0,1,0,0,0
MUS-RLPAKMHI,0,0,0,0,0,0,0,1,0
NORM-QLPTPAYP,0,0,0,0,0,0,0,0,1
TUM-FIWAPIIS,0,0,0,0,0,0,1,0,0
ADI-KNAWKRCT,1,0,0,0,0,0,0,0,0
DEB-PYLHGSTM,0,0,0,0,1,0,0,0,0
BACK-GVLPDSWD,0,1,0,0,0,0,0,0,0
STR-DVMSRGYT,0,0,0,1,0,0,0,0,0
LYM-EHPSNIVT,0,0,1,0,0,0,0,0,0
MUS-GCGCCQWI,0,0,0,0,0,0,0,1,0
TUM-FRMARCNH,0,0,0,0,0,0,1,0,0
DEB-EFIKMYTW,0,0,0,0,1,0,0,0,0
MUC-WVNKDIPD,0,0,0,0,0,1,0,0,0
ADI-GCFNIFLV,1,0,0,0,0,0,0,0,0
BACK-KKVVTAAQ,0,1,0,0,0,0,0,0,0
NORM-CHHKHVEA,0,0,0,0,0,0,0,0,1
STR-AAPLVLNH,0,0,0,1,0,0,0,0,0
MUS-QTQDYNKV,0,0,0,0,0,0,0,1,0
TUM-SGDTTIMA,0,0,0,0,0,0,1,0,0
LYM-IPVFMLTT,0,0,1,0,0,0,0,0,0
DEB-YPQVQEYW,0,0,0,0,1,0,0,0,0
ADI-NKLHRRNT,1,0,0,0,0,0,0,0,0
BACK-EYRTTERE,0,1,0,0,0,0,0,0,0
MUS-TQPCTPHP,0,0,0,0,0,0,0,1,0
TUM-DPVNLTHE,0,0,0,0,0,0,1,0,0
MUC-YCAILFRA,0,0,0,0,0,1,0,0,0
STR-TGPSGTRG,0,0,0,1,0,0,0,0,0
NORM-RLCMGCKH,0,0,0,0,0,0,0,0,1
LYM-SSAYARVA,0,0,1,0,0,0,0,0,0
DEB-MSCVVIMH,0,0,0,0,1,0,0,0,0
MUS-GGEIRNDY,0,0,0,0,0,0,0,1,0
TUM-IHMWKDCH,0,0,0,0,0,0,1,0,0
ADI-LFSQVVWW,1,0,0,0,0,0,0,0,0
BACK-CLPKTIMA,0,1,0,0,0,0,0,0,0
LYM-ADETEHME,0,0,1,0,0,0,0,0,0
STR-PQRQVKEN,0,0,0,1,0,0,0,0,0
MUC-CCLMALPE,0,0,0,0,0,1,0,0,0
NORM-FSYFRSFK,0,0,0,0,0,0,0,0,1
TUM-TAVTWDNF,0,0,0,0,0,0,1,0,0
MUS-CCHGHHAF,0,0,0,0,0,0,0,1,0
DEB-FAGGSHDA,0,0,0,0,1,0,0,0,0
ADI-GRQEGNEQ,1,0,0,0,0,0,0,0,0
BACK-PAEKYCEN,0,1,0,0,0,0,0,0,0
LYM-YKAWGWEE,0,0,1,0,0,0,0,0,0
STR-AQMTVADV,0,0,0,1,0,0,0,0,0
TUM-WYTDRGLQ,0,0,0,0,0,0,1,0,0
MUS-HFSYPDVY,0,0,0,0,0,0,0,1,0
MUC-EHIGDLIT,0,0,0,0,0,1,0,0,0
DEB-KHTSHFDC,0,0,0,0,1,0,0,0,0
NORM-EHIGMNIG,0,0,0,0,0,0,0,0,1
ADI-SEMPNNLI,1,0,0,0,0,0,0,0,0
BACK-NDCYMCGN,0,1,0,0,0,0,0,0,0
LYM-TKVVLELF,0,0,1,0,0,0,0,0,0
TUM-RNMHQIPN,0,0,0,0,0,0,1,0,0
MUS-KMYQSEKF,0,0,0,0,0,0,0,1,0
STR-SKWPHKWS,0,0,0,1,0,0,0,0,0
DEB-VDCGLFFA,0,0,0,0,1,0,0,0,0
MUC-NTLEIKMN,0,0,0,0,0,1,0,0,0
TUM-EQMHTNHC,0,0,0,0,0,0,1,0,0
NORM-HSVITCSG,0,0,0,0,0,0,0,0,1
LYM-GAQHFYNR,0,0,1,0,0,0,0,0,0
MUS-QDNYMDYY,0,0,0,0,0,0,0,1,0
ADI-CRHNSEHD,1,0,0,0,0,0,0,0,0
BACK-KKRHTERW,0,1,0,0,0,0,0,0,0
STR-GHHHDKNA,0,0,0,1,0,0,0,0,0
DEB-ISMPMDKM,0,0,0,0,1,0,0,0,0
TUM-TCICDFLY,0,0,0,0,0,0,1,0,0
MUS-NICVHWPW,0,0,0,0,0,0,0,1,0
LYM-HQQCASQS,0,0,1,0,0,0,0,0,0
MUC-TVWPQAMV,0,0,0,0,0,1,0,0,0
ADI-AQFNPINN,1,0,0,0,0,0,0,0,0
BACK-NVWCRAYW,0,1,0,0,0,0,0,0,0
NORM-VTQHLVFD,0,0,0,0,0,0,0,0,1
TUM-FGRMILEN,0,0,0,0,0,0,1,0,0
STR-MLNFPWAF,0,0,0,1,0,0,0,0,0
DEB-AQYDIDAC,0,0,0,0,1,0,0,0,0
MUS-TRAHCRND,0,0,0,0,0,0,0,1,0
LYM-VYYEHQTS,0,0,1,0,0,0,0,0,0
ADI-EPQHTVMD,1,0,0,0,0,0,0,0,0
BACK-APYVVTHV,0,1,0,0,0,0,0,0,0
TUM-QVNQFSEY,0,0,0,0,0,0,1,0,0
MUC-PFAKIMLC,0,0,0,0,0,1,0,0,0
DEB-HGRQWLNT,0,0,0,0,1,0,0,0,0
MUS-TPSFPRKI,0,0,0,0,0,0,0,1,0
STR-TWRPLIAP,0,0,0,1,0,0,0,0,0
NORM-FALYKMQH,0,0,0,0,0,0,0,0,1
LYM-SAYIVHGH,0,0,1,0,0,0,0,0,0
TUM-MESHIITY,0,0,0,0,0,0,1,0,0
ADI-QRFQPNLA,1,0,0,0,0,0,0,0,0
BACK-ALQDKLEL,0,1,0,0,0,0,0,0,0
MUS-NGIGRCRP,0,0,0,0,0,0,0,1,0
DEB-LFDIRIPD,0,0,0,0,1,0,0,0,0
STR-MPDFHRLF,0,0,0,1,0,0,0,0,0
MUC-AMGNTKVD,0,0,0,0,0,1,0,0,0
TUM-NPACLRVV,0,0,0,0,0,0,1,0,0
NORM-PHDLDIKT,0,0,0,0,0,0,0,0,1
LYM-MFYQQFHK,0,0,1,0,0,0,0,0,0
MUS-FGFIGMRV,0,0,0,0,0,0,0,1,0
ADI-PWIDGWCW,1,0,0,0,0,0,0,0,0
BACK-CMLLQEYF,0,1,0,0,0,0,0,0,0
DEB-RYEWTDIG,0,0,0,0,1,0,0,0,0
TUM-IGTMTWHL,0,0,0,0,0,0,1,0,0
STR-NFECHKCA,0,0,0,1,0,0,0,0,0
LYM-MQQFIDMW,0,0,1,0,0,0,0,0,0
MUC-NGHDMTSE,0,0,0,0,0,1,0,0,0
MUS-RFYHLVVF,0,0,0,0,0,0,0,1,0
NORM-FLNPHQGW,0,0,0,0,0,0,0,0,1
TUM-YNNFGMCY,0,0,0,0,0,0,1,0,0
DEB-PQMIQGPR,0,0,0,0,1,0,0,0,0
BACK-IPHRCKHV,0,1,0,0,0,0,0,0,0
ADI-QSIYKHGR,1,0,0,0,0,0,0,0,0
STR-HAIACTES,0,0,0,1,0,0,0,0,0
LYM-GTFGYYQM,0,0,1,0,0,0,0,0,0
MUS-MHCKHPFN,0,0,0,0,0,0,0,1,0
TUM-ASKSWDLT,0,0,0,0,0,0,1,0,0
MUC-PPPEQWQW,0,0,0,0,0,1,0,0,0
NORM-AHFEWDRS,0,0,0,0,0,0,0,0,1
DEB-TPLYSCRT,0,0,0,0,1,0,0,0,0
BACK-HEWHREGH,0,1,0,0,0,0,0,0,0
ADI-KQIFVYTS,1,0,0,0,0,0,0,0,0
MUS-QGIKNSQF,0,0,0,0,0,0,0,1,0
LYM-RDAVKREA,0,0,1,0,0,0,0,0,0
STR-SLIENYEK,0,0,0,1,0,0,0,0,0
TUM-AMEPKHTP,0,0,0,0,0,0,1,0,0
DEB-EHQCHFFK,0,0,0,0,1,0,0,0,0
MUC-GKTMIHAN,0,0,0,0,0,1,0,0,0
MUS-QWMLFQDD,0,0,0,0,0,0,0,1,0
BACK-DGQIVHLL,0,1,0,0,0,0,0,0,0
ADI-RDEEALRN,1,0,0,0,0,0,0,0,0
TUM-QWDDFNVA,0,0,0,0,0,0,1,0,0
NORM-LVTRPDWN,0,0,0,0,0,0,0,0,1
LYM-INYKIMTV,0,0,1,0,0,0,0,0,0
STR-HWTNWFLR,0,0,0,1,0,0,0,0,0
DEB-TCAVEWWW,0,0,0,0,1,0,0,0,0
MUS-MERCHNIM,0,0,0,0,0,0,0,1,0
TUM-EVNLKCCM,0,0,0,0,0,0,1,0,0
BACK-FDNYPIIY,0,1,0,0,0,0,0,0,0
ADI-DVCYNVAF,1,0,0,0,0,0,0,0,0
LYM-NQQRRNGW,0,0,1,0,0,0,0,0,0
MUC-LGMGQYLV,0,0,0,0,0,1,0,0,0
STR-ESVVHHTC,0,0,0,1,0,0,0,0,0
NORM-DSLYERGT,0,0,0,0,0,0,0,0,1
MUS-GKPIAVSI,0,0,0,0,0,0,0,1,0
TUM-ILFNHKKN,0,0,0,0,0,0,1,0,0
DEB-MWNAGNHL,0,0,0,0,1,0,0,0,0
BACK-EPWECDRT,0,1,0,0,0,0,0,0,0
LYM-FINVAQQT,0,0,1,0,0,0,0,0,0
ADI-QQDWRYKT,1,0,0,0,0,0,0,0,0
MUC-TIQRWDPF,0,0,0,0,0,1,0,0,0
MUS-SLKTYYQP,0,0,0,0,0,0,0,1,0
STR-YCWAFMNW,0,0,0,1,0,0,0,0,0
TUM-VPIFQTTN,0,0,0,0,0,0,1,0,0
NORM-MMMWYEFK,0,0,0,0,0,0,0,0,1
DEB-MMCTCCCC,0,0,0,0,1,0,0,0,0
LYM-DLDVNGTR,0,0,1,0,0,0,0,0,0
BACK-LRSMRSHN,0,1,0,0,0,0,0,0,0
ADI-FHFQALQY,1,0,0,0,0,0,0,0,0
MUS-AEDLWMSC,0,0,0,0,0,0,0,1,0
TUM-HDSPIVIQ,0,0,0,0,0,0,1,0,0
STR-ARNEPNWM,0,0,0,1,0,0,0,0,0
DEB-CAALKIEK,0,0,0,0,1,0,0,0,0
MUC-RWPANFLV,0,0,0,0,0,1,0,0,0
NORM-GDHIQEVI,0,0,0,0,0,0,0,0,1
LYM-ALWKVHGC,0,0,1,0,0,0,0,0,0
TUM-ARDTGRFN,0,0,0,0,0,0,1,0,0
MUS-DELYSIDY,0,0,0,0,0,0,0,1,0
